network,method,stat,value,status
abm14,gbbs,exit_code,0.0,ok
abm14,gbbs,wall_s,5.875,ok
abm14,gbbs,user_s,54.333,ok
abm14,gbbs,sys_s,8.078,ok
abm14,gbbs,cpu_pct,1062.0,ok
abm14,gbbs,peak_rss_kb,5338064.0,ok
abm14,gbbs,peak_rss_anon_kb,688140.0,ok
abm14,gbbs,peak_rss_file_kb,4655828.0,ok
abm14,gbbs,peak_rss_tree_kb,5343968.0,ok
abm14,gbbs,peak_minflt,1215301.0,ok
abm14,gbbs,peak_majflt,650.0,ok
abm14,ucr,exit_code,0.0,ok
abm14,ucr,wall_s,8.742,ok
abm14,ucr,user_s,86.666,ok
abm14,ucr,sys_s,21.736,ok
abm14,ucr,cpu_pct,1240.0,ok
abm14,ucr,peak_rss_kb,9304912.0,ok
abm14,ucr,peak_rss_anon_kb,7060900.0,ok
abm14,ucr,peak_rss_file_kb,4538776.0,ok
abm14,ucr,peak_rss_tree_kb,9097320.0,ok
abm14,ucr,peak_minflt,1183185.0,ok
abm14,ucr,peak_majflt,32.0,ok
abm14,pkc,exit_code,0.0,ok
abm14,pkc,wall_s,236.668,ok
abm14,pkc,user_s,254.706,ok
abm14,pkc,sys_s,7.165,ok
abm14,pkc,cpu_pct,111.0,ok
abm14,pkc,peak_rss_kb,4775892.0,ok
abm14,pkc,peak_rss_anon_kb,4774868.0,ok
abm14,pkc,peak_rss_file_kb,1948.0,ok
abm14,pkc,peak_rss_tree_kb,4776816.0,ok
abm14,pkc,peak_minflt,14594.0,ok
abm14,pkc,peak_majflt,0.0,ok
abm14,lbug,exit_code,,timeout
abm14,lbug,wall_s,,timeout
abm14,lbug,user_s,,timeout
abm14,lbug,sys_s,,timeout
abm14,lbug,cpu_pct,,timeout
abm14,lbug,peak_rss_kb,,timeout
abm14,lbug,peak_rss_anon_kb,,timeout
abm14,lbug,peak_rss_file_kb,,timeout
abm14,lbug,peak_rss_tree_kb,,timeout
abm14,lbug,peak_minflt,,timeout
abm14,lbug,peak_majflt,,timeout
abm14,nk,exit_code,0.0,ok
abm14,nk,wall_s,185.046,ok
abm14,nk,user_s,1110.396,ok
abm14,nk,sys_s,6.863,ok
abm14,nk,cpu_pct,604.0,ok
abm14,nk,peak_rss_kb,14065492.0,ok
abm14,nk,peak_rss_anon_kb,10422364.0,ok
abm14,nk,peak_rss_file_kb,4437204.0,ok
abm14,nk,peak_rss_tree_kb,14074476.0,ok
abm14,nk,peak_minflt,4491963.0,ok
abm14,nk,peak_majflt,330.0,ok
abm14,ib,exit_code,0.0,ok
abm14,ib,wall_s,11.683,ok
abm14,ib,user_s,40.736,ok
abm14,ib,sys_s,19.412,ok
abm14,ib,cpu_pct,515.0,ok
abm14,ib,peak_rss_kb,10176716.0,ok
abm14,ib,peak_rss_anon_kb,848252.0,ok
abm14,ib,peak_rss_file_kb,9281528.0,ok
abm14,ib,peak_rss_tree_kb,10128864.0,ok
abm14,ib,peak_minflt,2462745.0,ok
abm14,ib,peak_majflt,14.0,ok
cen,gbbs,exit_code,0.0,ok
cen,gbbs,wall_s,2.288,ok
cen,gbbs,user_s,11.744,ok
cen,gbbs,sys_s,1.805,ok
cen,gbbs,cpu_pct,592.0,ok
cen,gbbs,peak_rss_kb,1357708.0,ok
cen,gbbs,peak_rss_anon_kb,529576.0,ok
cen,gbbs,peak_rss_file_kb,832740.0,ok
cen,gbbs,peak_rss_tree_kb,1362316.0,ok
cen,gbbs,peak_minflt,219122.0,ok
cen,gbbs,peak_majflt,112.0,ok
cen,ucr,exit_code,0.0,ok
cen,ucr,wall_s,2.595,ok
cen,ucr,user_s,13.465,ok
cen,ucr,sys_s,3.054,ok
cen,ucr,cpu_pct,636.0,ok
cen,ucr,peak_rss_kb,3309336.0,ok
cen,ucr,peak_rss_anon_kb,3314104.0,ok
cen,ucr,peak_rss_file_kb,539324.0,ok
cen,ucr,peak_rss_tree_kb,3318496.0,ok
cen,ucr,peak_minflt,221188.0,ok
cen,ucr,peak_majflt,8.0,ok
cen,pkc,exit_code,0.0,ok
cen,pkc,wall_s,42.368,ok
cen,pkc,user_s,53.682,ok
cen,pkc,sys_s,1.857,ok
cen,pkc,cpu_pct,131.0,ok
cen,pkc,peak_rss_kb,1009100.0,ok
cen,pkc,peak_rss_anon_kb,1008076.0,ok
cen,pkc,peak_rss_file_kb,1948.0,ok
cen,pkc,peak_rss_tree_kb,1010024.0,ok
cen,pkc,peak_minflt,12978.0,ok
cen,pkc,peak_majflt,2.0,ok
cen,lbug,exit_code,,timeout
cen,lbug,wall_s,,timeout
cen,lbug,user_s,,timeout
cen,lbug,sys_s,,timeout
cen,lbug,cpu_pct,,timeout
cen,lbug,peak_rss_kb,,timeout
cen,lbug,peak_rss_anon_kb,,timeout
cen,lbug,peak_rss_file_kb,,timeout
cen,lbug,peak_rss_tree_kb,,timeout
cen,lbug,peak_minflt,,timeout
cen,lbug,peak_majflt,,timeout
cen,nk,exit_code,0.0,ok
cen,nk,wall_s,25.102,ok
cen,nk,user_s,73.864,ok
cen,nk,sys_s,2.051,ok
cen,nk,cpu_pct,302.0,ok
cen,nk,peak_rss_kb,3027964.0,ok
cen,nk,peak_rss_anon_kb,2983928.0,ok
cen,nk,peak_rss_file_kb,750792.0,ok
cen,nk,peak_rss_tree_kb,3026164.0,ok
cen,nk,peak_minflt,1222001.0,ok
cen,nk,peak_majflt,331.0,ok
cen,ib,exit_code,0.0,ok
cen,ib,wall_s,8.99,ok
cen,ib,user_s,22.61,ok
cen,ib,sys_s,5.719,ok
cen,ib,cpu_pct,315.0,ok
cen,ib,peak_rss_kb,2596104.0,ok
cen,ib,peak_rss_anon_kb,929292.0,ok
cen,ib,peak_rss_file_kb,1635256.0,ok
cen,ib,peak_rss_tree_kb,2563464.0,ok
cen,ib,peak_minflt,597028.0,ok
cen,ib,peak_majflt,0.0,ok
