source,target
0,17
0,482
0,458
0,334
0,350
0,224
0,2
0,292
0,699
0,691
0,401
0,566
0,622
0,118
0,579
0,336
0,164
0,524
0,692
0,686
0,799
0,279
0,280
0,619
0,337
0,116
0,1
0,282
0,624
0,804
0,560
0,153
0,690
0,520
0,215
0,745
0,455
0,625
0,623
0,402
0,117
0,213
0,620
0,851
0,454
0,562
0,11
0,225
0,162
0,802
0,4
0,689
0,817
0,161
0,456
0,852
0,528
0,806
0,286
0,166
0,348
0,468
0,632
0,756
0,746
0,862
0,509
0,565
0,52
0,580
0,636
0,230
0,561
0,744
0,510
0,74
0,214
0,573
0,563
0,539
0,523
0,621
0,119
0,115
0,564
0,511
0,834
0,457
0,403
0,687
0,335
0,175
0,760
0,805
0,397
0,688
0,801
0,453
0,803
0,743
0,281
0,333
0,232
0,415
0,81
0,398
0,411
0,3
0,400
0,508
0,341
0,853
0,72
0,73
0,865
0,800
1,17
1,482
1,458
1,334
1,350
1,224
1,777
1,2
1,691
1,529
1,689
1,622
1,745
1,118
1,560
1,799
1,860
1,282
1,619
1,161
1,337
1,625
1,400
1,624
1,153
1,215
1,455
1,623
1,402
1,117
1,225
1,801
1,213
1,18
1,454
1,851
1,401
1,152
1,412
1,756
1,699
1,411
1,566
1,510
1,11
1,461
1,162
1,802
1,587
1,579
1,852
1,806
1,814
1,164
1,580
1,286
1,166
1,632
1,697
1,124
1,766
1,336
1,686
1,528
1,520
1,279
1,299
1,562
1,116
1,280
1,456
1,524
1,692
1,222
1,642
1,746
1,862
1,509
1,565
1,636
1,230
1,123
1,410
1,109
1,561
1,744
1,74
1,214
1,573
1,563
1,539
1,523
1,690
1,621
1,119
1,115
1,348
1,564
1,511
1,457
1,403
1,861
1,399
1,228
1,687
1,335
1,175
1,760
1,805
1,397
1,688
1,453
1,803
1,743
1,281
1,333
1,804
1,415
1,81
1,854
1,288
1,398
1,300
1,3
1,620
1,508
1,341
1,853
1,684
1,815
1,404
1,72
1,73
1,865
1,800
1,245
2,17
2,334
2,72
2,851
2,279
2,687
2,161
2,561
2,457
2,619
2,453
2,686
2,280
2,621
2,854
2,560
2,799
2,620
2,852
2,3
2,528
2,520
2,542
2,456
2,461
2,509
2,226
2,230
2,744
2,563
2,119
2,115
2,403
2,175
2,805
2,397
2,743
2,281
2,333
2,415
2,81
2,398
2,508
2,341
2,73
2,865
3,17
3,624
3,492
3,20
3,167
3,777
3,161
3,619
3,192
3,884
3,766
3,562
3,116
3,280
3,125
3,818
3,642
3,756
3,472
3,226
3,816
3,636
3,625
3,230
3,123
3,109
3,561
3,74
3,539
3,523
3,621
3,119
3,348
3,564
3,403
3,861
3,228
3,687
3,175
3,402
3,805
3,453
3,50
3,281
3,333
3,81
3,411
3,300
3,115
3,799
3,744
3,397
3,520
3,691
3,854
3,214
3,225
3,299
3,152
3,509
3,398
3,743
3,860
3,560
3,336
3,279
3,573
3,862
3,18
3,400
3,697
3,412
3,292
3,415
3,229
3,457
3,351
3,634
3,455
3,635
3,456
3,6
3,350
3,851
3,410
3,803
3,461
3,528
3,337
3,834
3,52
3,686
3,638
3,27
3,706
3,579
3,286
3,521
3,379
3,294
3,344
3,853
3,468
3,620
3,508
3,341
3,343
3,404
3,72
3,568
3,73
3,865
3,800
4,482
4,156
4,116
4,689
4,279
4,817
4,73
4,756
4,619
4,119
4,528
4,806
4,760
4,341
4,468
4,225
4,456
4,76
4,217
4,626
4,283
4,564
4,72
4,744
4,338
4,749
4,693
4,807
4,284
4,694
4,750
4,218
4,629
4,567
4,115
4,155
4,855
4,513
4,562
4,340
4,215
4,219
4,799
4,405
4,455
4,695
4,459
4,808
4,120
4,751
4,620
4,286
4,220
4,5
4,287
4,630
4,6
4,696
4,856
4,752
4,686
4,565
4,623
4,406
4,77
4,402
4,688
4,631
4,75
4,514
4,509
4,853
4,515
4,400
4,342
4,7
4,78
4,753
4,117
4,809
4,516
4,748
4,747
4,687
4,175
4,285
4,743
4,281
4,232
4,216
4,508
4,684
4,568
5,482
5,155
5,809
5,344
5,76
5,744
5,338
5,749
5,807
5,694
5,115
5,279
5,855
5,340
5,219
5,799
5,455
5,459
5,630
5,856
5,752
5,686
5,623
5,406
5,77
5,402
5,509
5,342
5,284
5,156
5,283
5,218
5,689
5,217
5,751
5,286
5,405
5,456
5,696
5,220
5,808
5,693
5,565
5,748
5,567
5,78
5,631
5,626
5,7
5,287
5,75
5,564
5,513
5,747
5,753
5,629
5,117
5,215
5,285
5,695
5,516
5,688
5,514
5,515
5,216
5,620
5,508
5,853
5,684
5,750
5,72
5,568
5,120
5,6
6,482
6,787
6,638
6,155
6,809
6,584
6,350
6,284
6,224
6,156
6,814
6,283
6,699
6,82
6,218
6,191
6,689
6,217
6,751
6,405
6,627
6,461
6,222
6,220
6,808
6,693
6,124
6,429
6,748
6,900
6,631
6,214
6,573
6,626
6,706
6,287
6,75
6,196
6,513
6,616
6,747
6,629
6,643
6,117
6,285
6,695
6,514
6,515
6,803
6,415
6,216
6,620
6,853
6,684
6,750
6,831
6,120
6,744
6,115
6,72
6,565
6,508
6,279
6,568
6,516
6,564
6,799
6,286
6,456
6,344
6,403
6,713
6,688
6,753
6,289
6,76
6,282
6,338
6,749
6,807
6,73
6,694
6,343
6,567
6,855
6,340
6,215
6,219
6,455
6,459
6,630
6,696
6,856
6,752
6,686
6,623
6,406
6,77
6,402
6,509
6,342
6,7
6,78
6,874
7,482
7,155
7,809
7,284
7,156
7,283
7,218
7,689
7,217
7,751
7,286
7,405
7,456
7,220
7,808
7,693
7,565
7,748
7,78
7,631
7,626
7,744
7,115
7,638
7,76
7,338
7,749
7,807
7,694
