id,core
0,106
1,106
2,88
3,98
4,148
5,148
6,148
7,148
8,48
9,48
10,38
11,92
12,20
13,16
14,16
15,38
16,38
17,98
18,60
19,6
20,34
21,14
22,2
23,2
24,20
25,50
26,8
27,14
28,50
29,14
30,6
31,2
32,4
33,2
34,2
35,2
36,2
37,2
38,2
39,2
40,2
41,2
42,2
43,2
44,2
45,2
46,2
47,2
48,2
49,2
50,44
51,6
52,22
53,4
54,2
55,2
56,2
57,2
58,4
59,6
60,4
61,4
62,2
63,2
64,2
65,12
66,2
67,2
68,2
69,2
70,2
71,2
72,148
73,106
74,106
75,148
76,148
77,148
78,148
79,16
80,50
81,98
82,16
83,8
84,38
85,2
86,20
87,4
88,50
89,8
90,2
91,50
92,2
93,2
94,2
95,2
96,2
97,2
98,2
99,4
100,2
101,8
102,2
103,2
104,2
105,2
106,2
107,4
108,2
109,92
110,4
111,2
112,2
113,6
114,2
115,148
116,106
117,148
118,106
119,106
120,148
121,10
122,16
123,84
124,36
125,18
126,4
127,4
128,14
129,2
130,4
131,2
132,2
133,2
134,8
135,4
136,14
137,4
138,2
139,2
140,2
141,4
142,2
143,4
144,2
145,4
146,2
147,2
148,2
149,4
150,6
151,12
152,96
153,106
154,12
155,148
156,148
157,50
158,38
159,38
160,26
161,98
162,82
163,48
164,72
165,38
166,82
167,58
168,12
169,14
170,16
171,20
172,6
173,12
174,50
175,98
176,4
177,2
178,2
179,2
180,2
181,2
182,2
183,2
184,2
185,2
186,2
187,2
188,6
189,2
190,10
191,14
192,14
193,12
194,2
195,12
196,10
197,12
198,4
199,8
200,48
201,8
202,4
203,14
204,2
205,2
206,38
207,2
208,4
209,2
210,2
211,2
212,8
213,98
214,98
215,148
216,148
217,148
218,148
219,148
220,148
221,16
222,32
223,38
224,80
225,98
226,46
227,50
228,58
229,20
230,98
231,50
232,48
233,20
234,2
235,14
236,2
237,2
238,2
239,2
240,2
241,2
242,2
243,6
244,56
245,48
246,16
247,4
248,2
249,2
250,2
251,2
252,10
253,4
254,2
255,4
256,12
257,6
258,4
259,12
260,4
261,2
262,2
263,2
264,2
265,2
266,2
267,2
268,16
269,4
270,8
271,2
272,2
273,2
274,2
275,2
276,2
277,4
278,6
279,148
280,98
281,106
282,106
283,148
284,148
285,148
286,148
287,148
288,62
289,34
290,50
291,12
292,32
293,16
294,26
295,2
296,14
297,8
298,4
299,74
300,74
301,2
302,2
303,12
304,2
305,6
306,4
307,16
308,2
309,2
310,2
311,2
312,2
313,6
314,14
315,20
316,16
317,2
318,2
319,6
320,6
321,6
322,2
323,4
324,4
325,6
326,2
327,2
328,2
329,6
330,4
331,2
332,48
333,86
334,98
335,94
336,106
337,106
338,148
339,32
340,148
341,98
342,148
343,52
344,88
345,50
346,50
347,6
348,98
349,38
350,96
351,34
352,18
353,10
354,50
355,50
356,14
357,2
358,8
359,8
360,2
361,2
362,2
363,2
364,2
365,2
366,2
367,2
368,2
369,2
370,2
371,2
372,2
373,2
374,6
375,14
376,2
377,8
378,10
379,12
380,4
381,2
382,2
383,18
384,4
385,2
386,2
387,16
388,2
389,2
390,2
391,2
392,2
393,2
394,4
395,2
396,4
397,106
398,106
399,96
400,106
401,76
402,148
403,106
404,98
405,148
406,148
407,20
408,38
409,34
410,96
411,98
412,76
413,14
414,50
415,98
416,20
417,16
418,2
419,2
420,2
421,2
422,2
423,2
424,2
425,2
426,8
427,2
428,8
429,6
430,2
431,8
432,14
433,14
434,8
435,2
436,2
437,2
438,2
439,2
440,2
441,2
442,4
443,2
444,2
445,2
446,2
447,2
448,6
449,2
450,2
451,2
452,2
453,98
454,106
455,148
456,148
457,106
458,106
459,148
460,48
461,92
462,38
463,32
464,8
465,16
466,26
467,8
468,52
469,14
470,16
471,50
472,20
473,2
474,2
475,2
476,2
477,2
478,2
479,2
480,2
481,16
482,148
483,10
484,8
485,10
486,10
487,2
488,2
489,4
490,2
491,2
492,2
493,2
494,38
495,16
496,2
497,2
498,2
499,2
500,2
501,2
502,2
503,2
504,2
505,2
506,2
507,2
508,148
509,148
510,96
511,88
512,12
513,148
514,148
515,148
516,148
517,24
518,48
519,48
520,98
521,14
522,38
523,98
524,88
525,4
526,50
527,8
528,106
529,38
530,2
531,2
532,2
533,2
534,2
535,2
536,2
537,2
538,10
539,106
540,2
541,16
542,20
543,2
544,6
545,2
546,2
547,2
548,2
549,2
550,4
551,2
552,2
553,2
554,2
555,4
556,2
557,2
558,14
559,2
560,106
561,106
562,98
563,98
564,148
565,148
566,106
567,148
568,148
569,14
570,50
571,48
572,6
573,98
574,12
575,16
576,16
577,20
578,20
579,90
580,72
581,36
582,4
583,14
584,26
585,50
586,4
587,20
588,8
589,16
590,2
591,2
592,2
593,4
594,2
595,2
596,2
597,2
598,14
599,4
600,16
601,4
602,4
603,2
604,12
605,2
606,2
607,10
608,2
609,2
610,4
611,8
612,2
613,2
614,2
615,2
616,16
617,2
618,2
619,106
620,148
621,98
622,78
623,148
624,106
625,106
626,148
627,22
628,14
629,148
630,148
631,148
632,92
633,6
634,12
635,34
636,98
637,50
638,48
639,14
640,60
641,4
642,60
643,8
644,16
645,12
646,4
647,50
648,50
649,2
650,8
651,14
652,8
653,2
654,2
655,2
656,2
657,2
658,2
659,4
660,2
661,2
662,8
663,2
664,2
665,4
666,6
667,2
668,24
669,8
670,2
671,2
672,2
673,2
674,4
675,4
676,14
677,2
678,2
679,2
680,2
681,2
682,6
683,4
684,148
685,6
686,148
687,106
688,148
689,148
690,106
691,106
692,106
693,148
694,148
695,148
696,148
697,38
698,8
699,80
700,12
701,26
702,38
703,38
704,4
705,2
706,48
707,12
708,2
709,14
710,50
711,50
712,4
713,24
714,2
715,2
716,2
717,2
718,2
719,2
720,16
721,4
722,10
723,4
724,2
725,4
726,2
727,4
728,2
729,2
730,2
731,4
732,8
733,8
734,2
735,2
736,2
737,8
738,2
739,2
740,2
741,2
742,2
743,98
744,148
745,106
746,106
747,148
748,148
749,148
750,148
751,148
752,148
753,148
754,28
755,24
756,98
757,16
758,38
759,26
760,98
761,8
762,8
763,2
764,2
765,4
766,98
767,2
768,2
769,2
770,2
771,2
772,2
773,2
774,2
775,4
776,2
777,76
778,56
779,14
780,2
781,8
782,8
783,2
784,2
785,2
786,2
787,24
788,2
789,4
790,2
791,2
792,8
793,6
794,4
795,2
796,4
797,6
798,2
799,148
800,98
801,98
802,78
803,98
804,106
805,106
806,106
807,148
808,148
809,148
810,14
811,38
812,38
813,38
814,38
815,50
816,16
817,68
818,78
819,50
820,2
821,2
822,2
823,2
824,2
825,2
826,2
827,2
828,2
829,2
830,8
831,8
832,8
833,2
834,18
835,2
836,12
837,2
838,4
839,2
840,2
841,18
842,2
843,4
844,4
845,8
846,12
847,2
848,2
849,2
850,6
851,98
852,76
853,148
854,96
855,148
856,148
857,8
858,6
859,24
860,74
861,76
862,98
863,12
864,4
865,92
866,16
867,6
868,16
869,20
870,10
871,2
872,6
873,48
874,34
875,10
876,10
877,2
878,2
879,2
880,2
881,2
882,2
883,2
884,78
885,24
886,16
